,Equipo,JJ,R/G ✦,RA/G,Total/G,σ Total,OVER 6.5%,OVER 7.5%,OVER 8.5%,OVER 9.5%
1,Washington Nationals,63,5.25,5.41,10.67,4.83,76%,71%,70%,57%
2,Colorado Rockies,63,4.32,5.63,9.95,4.99,71%,63%,59%,51%
3,Pittsburgh Pirates,62,5.16,4.63,9.79,5.25,69%,60%,55%,42%
4,Baltimore Orioles,62,4.52,5.21,9.73,4.07,77%,68%,53%,47%
5,Houston Astros,63,4.57,5.13,9.7,4.86,70%,65%,59%,51%
6,Minnesota Twins,63,4.6,4.98,9.59,4.61,70%,67%,52%,46%
7,Los Angeles Angels,63,4.38,5.19,9.57,5.02,71%,59%,49%,41%
8,Cincinnati Reds,61,4.33,5.0,9.33,4.43,75%,67%,66%,51%
9,Chicago White Sox,62,4.73,4.55,9.27,4.42,76%,65%,53%,45%
10,Tampa Bay Rays,59,4.63,4.54,9.17,4.59,71%,61%,46%,36%
11,Chicago Cubs,62,4.66,4.39,9.05,4.39,68%,61%,56%,45%
12,Athletics,61,4.25,4.77,9.02,4.69,74%,61%,54%,43%
13,Arizona Diamondbacks,61,4.48,4.43,8.9,4.46,69%,61%,52%,41%
14,Miami Marlins,63,4.25,4.54,8.79,3.75,76%,65%,59%,44%
15,St. Louis Cardinals,60,4.28,4.48,8.77,4.2,63%,58%,43%,33%
16,New York Yankees,61,5.13,3.62,8.75,4.42,69%,54%,46%,34%
17,San Francisco Giants,62,3.84,4.9,8.74,4.45,68%,58%,47%,39%
18,Atlanta Braves,62,5.27,3.44,8.71,3.84,71%,60%,52%,37%
19,Kansas City Royals,62,3.84,4.65,8.48,4.51,65%,50%,42%,34%
20,Los Angeles Dodgers,62,5.29,3.13,8.42,4.44,58%,48%,44%,32%
21,Milwaukee Brewers,59,4.95,3.39,8.34,4.03,63%,49%,41%,32%
22,New York Mets,62,4.05,4.26,8.31,4.63,60%,47%,39%,27%
23,Detroit Tigers,63,3.94,4.33,8.27,4.35,65%,51%,40%,32%
24,Toronto Blue Jays,62,4.03,4.23,8.26,4.14,65%,52%,44%,34%
25,Cleveland Guardians,63,4.17,4.06,8.24,3.99,59%,56%,46%,40%
26,Philadelphia Phillies,61,3.87,4.26,8.13,4.19,57%,49%,44%,33%
27,Boston Red Sox,60,4.02,4.02,8.03,4.04,55%,50%,42%,32%
28,Seattle Mariners,63,4.24,3.76,8.0,4.2,59%,48%,38%,33%
29,Texas Rangers,62,4.02,3.87,7.89,3.64,66%,53%,44%,31%
30,San Diego Padres,60,3.85,3.98,7.83,4.08,58%,47%,40%,35%
